SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-18-2001,Single Family Residential,18024 32nd Ave SE,Bothell,WA,98012,780000,5,2.5,North Bothell,2896,6534,2001,8,269,19,Pending,,,http://www.redfin.com/WA/Bothell/18024-32nd-Ave-SE-98012/home/2882518,NWMLS,1271672,N,Y,47.8338259,-122.1899397
PAST SALE,September-28-2007,Single Family Residential,211 196th Place SW,Bothell,WA,98012,659950,4,2.5,Bothell,2409,3727,2007,8,274,33,Pending,,,http://www.redfin.com/WA/Bothell/211-196th-Pl-SW-98012/home/12334191,NWMLS,1273775,N,Y,47.820609,-122.2363472
MLS Listing,,Townhouse,1325 Seattle Hill Rd Unit E3,Bothell,WA,98012,599900,3,3.25,Mill Creek,2027,1219,2018,8,296,121,Active,April-21-2018 11:00 AM,April-21-2018 05:00 PM,http://www.redfin.com/WA/Bothell/1325-Seattle-Hill-Rd-98012/unit-E3/home/144800478,NWMLS,1273675,N,Y,47.8450585,-122.2147022
PAST SALE,January-14-2010,Single Family Residential,3914 152nd Place SE,Bothell,WA,98012,465000,4,2.75,Mill Creek,1998,3360,2004,8,233,25,Pending,,,http://www.redfin.com/WA/Bothell/3914-152nd-Pl-SE-98012/home/2904457,NWMLS,1266519,N,Y,47.8591255,-122.1792548
PAST SALE,,Single Family Residential,14215 41st Dr SE,Mill Creek,WA,98012,550000,5,3.0,Mill Creek,2104,4497,2008,8,261,25,Pending,,,http://www.redfin.com/WA/Mill-Creek/14215-41st-Dr-SE-98012/home/28640991,NWMLS,1260070,N,Y,47.8684795,-122.1762811
PAST SALE,,Townhouse,2000 Village Green Dr #4,Mill Creek,WA,98012,600000,3,2.5,Mill Creek,2339,6534,1987,8,257,57,Pending,,,http://www.redfin.com/WA/Mill-Creek/2000-Village-Green-Dr-98012/unit-4/home/2812047,NWMLS,1273489,N,Y,47.8657132,-122.2051515
PAST SALE,June-24-2009,Single Family Residential,17233 31st Dr SE,Bothell,WA,98012,659800,4,2.5,Bothell,2127,4792,2009,8,310,28,Pending,,,http://www.redfin.com/WA/Bothell/17233-31st-Dr-SE-98012/home/12418448,NWMLS,1272893,N,Y,47.8409769,-122.1902869
PAST SALE,,Single Family Residential,3007 Stafford Wy,Bothell,WA,98012,490000,3,1.75,Kennard Corner,1230,10019,1968,8,398,,Pending,,,http://www.redfin.com/WA/Bothell/3007-Stafford-Way-98012/home/2750244,NWMLS,1261178,N,Y,47.8229731,-122.192639
MLS Listing,,Single Family Residential,18805 20th Ave SE,Bothell,WA,98012,595000,3,2.5,North Bothell,1831,4356,1996,8,325,92,Active,April-21-2018 12:00 PM,April-21-2018 03:00 PM,http://www.redfin.com/WA/Bothell/18805-20th-Ave-SE-98012/home/2843194,NWMLS,1270701,N,Y,47.8270868,-122.2052801
PAST SALE,May-22-2015,Single Family Residential,14513 38th Dr SE,Mill Creek,WA,98012,830000,4,3.25,Mill Creek,3512,7754,2004,8,236,40,Pending,,,http://www.redfin.com/WA/Mill-Creek/14513-38th-Dr-SE-98012/home/2914909,NWMLS,1271711,N,Y,47.8661582,-122.1802643
